	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	lqskm1	lqskm2	lqskt1a	lqskt1b	lqskt2	lqskt3
						
z4			6.883	10.60**	2.168	7.398**
			(9.906)	(4.629)	(4.965)	(3.364)
z5			-11.56	-35.90***	-37.14***	0.0265
			(20.82)	(10.24)	(10.65)	(7.591)
z6			-2.402	38.14***	48.72***	-11.82
			(27.27)	(12.77)	(13.68)	(9.292)
z7			11.01	-5.984	9.865	-11.84**
			(14.64)	(6.652)	(7.256)	(4.774)
lgni	0.753	0.475	1.512	1.179*	1.762**	1.651***
	(0.599)	(0.522)	(1.284)	(0.715)	(0.694)	(0.551)
z1	-0.282***					
	(0.0718)					
z2	-0.847	1.040				
	(0.851)	(0.749)				
z3		0.171*				
		(0.101)				
Constant	13.33	12.56*	-3.599	3.015	-7.795	-4.330
	(8.546)	(7.372)	(21.69)	(12.00)	(11.70)	(9.242)
						
Observations	120	120	120	120	120	120
R-squared	0.296	0.441	0.099	0.135	0.227	0.798
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
